,count,mean,std,min,25%,50%,75%,max,median,skew,kurtosis
student_disabilities_percent,54.0,18.090740740740742,3.7712551595836414,8.8,15.6,17.7,20.675,28.5,17.7,0.08494881234515285,0.26239432106092186
student_low_income_percent,54.0,42.742592592592594,29.674133338280622,11.6,18.674999999999997,25.7,72.80000000000001,99.4,25.7,0.668063473845394,-1.326435071796447
HEI 2015 Total Score,54.0,57.21757662611111,8.354165313594384,38.46152381,52.1053630975,58.951685525,62.813546367499995,75.57825,58.951685525,-0.45953051761413016,-0.24657287464329158
HEI 2015 Total Fruits (0-5),54.0,3.556256311962963,1.5209226687139934,0.0,2.8350125,4.1486821945,4.83918361275,5.0,4.1486821945,-1.0584114410194747,0.17531414013923063
HEI 2015 Whole Fruits (0-5),54.0,4.074195330796297,1.4120330584379157,0.0,4.0392619045,4.694095238,4.93883062775,5.0,4.694095238,-2.0131659445142334,3.1619735011763805
HEI 2015 Total Vegetables (0-5),54.0,3.036338437148148,1.0379598532186771,0.697142857,2.2646964282499997,3.1201285715,3.889197619,4.960368421,3.1201285715,-0.1957946842458399,-0.7529836450086278
HEI 2015 Greens and Beans (0-5),54.0,1.6318138081111113,0.9641376268398519,0.0,1.101736842,1.5852142855,2.16321583825,5.0,1.5852142855,0.6737011110196679,1.5630964499085924
HEI 2015 Whole Grains (0-10),54.0,3.5363685993888887,2.2712065227289426,0.327,1.56743125,3.1485553360000003,5.600160714,7.6427,3.1485553360000003,0.3134272527899249,-1.2638052258211145
HEI 2015 Dairy (0-10),54.0,8.33954767424074,2.318075481218721,2.5712,6.3960517855,9.698933230000002,10.0,10.0,9.698933230000002,-1.135119287177976,-0.3365282521293609
HEI 2015 Total Protein Foods (0-5),54.0,3.52990025287037,0.7858908321157346,2.002647059,3.049535714,3.421457143,4.1397779505,4.956285714,3.421457143,0.01777759886758186,-0.8424233341897307
HEI 2015 Seafood and Plant Proteins (0-5),54.0,1.7851569748148148,1.425402142281146,0.0,0.75480769225,1.265173913,2.3251785715000004,5.0,1.265173913,1.146794530518617,0.2913305842499385
HEI 2015 Fatty Acids (0-10),54.0,4.324254851018519,1.595594641806865,1.38065,3.15500028625,4.238501812,5.19033452375,8.488714286,4.238501812,0.41891022505199693,-0.07121505999175826
HEI 2015 Refined Grains (0-10),54.0,4.271798548462963,2.022289796754973,0.4618,2.485655921,4.078440476,5.924664255750001,8.717714286,4.078440476,0.32631546007179196,-0.8457683627830264
HEI 2015 Sodium (0-10),54.0,4.541230007611111,1.8431089791843023,0.63447619,3.56785096125,4.463282143,6.04807142825,8.14955,4.463282143,-0.3423733003426192,-0.45993795113128133
HEI 2015 Added Sugars (0-10),54.0,8.197020476703702,1.7061163746484838,3.168238095,7.74087499975,8.6497460525,9.47301964275,9.9908,8.6497460525,-1.209279134502425,0.6896962195989271
HEI 2015 Saturated Fats (0-10),54.0,6.393686194537037,1.6784933054448867,2.622952381,5.1629160715,6.494635714499999,7.464825758,9.541238095,6.494635714499999,0.021542842595927984,-0.37855563577248086
Total Fruit Servings in cup equivalents per 1000 kcal,54.0,0.77338233,0.45254940148200323,0.0,0.45668684175,0.7254047619999999,1.13255357125,1.802636364,0.7254047619999999,0.18282387063321406,-0.5607795029931202
Whole Fruit Servings in cup equivalents per 1000 kcal,54.0,0.5195771632592593,0.2702441884244582,0.0,0.37175714249999997,0.4889166665,0.67201934525,1.087263158,0.4889166665,0.030021602648431515,-0.35764579987574363
Total Vegetable Servings in cup equivalents per 1000 kcal,54.0,0.767275874425926,0.34263601985498765,0.153333333,0.5036614905,0.7267333335,1.013548611,1.616210526,0.7267333335,0.42763645393523514,-0.5758244099619128
Greens and Beans Servings in cup equivalents per 1000 kcal,54.0,0.14837950155555554,0.1291664771247902,0.0,0.06417559525,0.13651785700000002,0.18779580775000002,0.763736842,0.13651785700000002,2.408414243741151,9.201230302505461
Whole Grain Servings in ounce equivalents per 1000 kcal,54.0,0.6464011237222222,0.4384144855314689,0.049047619,0.26862019225,0.5208897244999999,0.9783452385,1.6105,0.5208897244999999,0.5378582553993555,-0.8899206796056554
Dairy Servings in cup equivalents per 1000 kcal,54.0,1.6452167911296292,0.7027802395519488,0.3502,1.013855357,1.7161458335,2.1884125,3.086913043,1.7161458335,-0.10465109246215067,-0.968395719330311
Total Protein Servings in ounce equivalents per 1000 kcal,54.0,2.498729280481481,0.9503245015283318,1.1063,1.8349285714999999,2.294891369,2.97573690475,5.370869565,2.294891369,1.0926184769983076,1.08229123305216
Seafood and Plant Protein Servings in ounce equivalents per 1000 kcal,54.0,0.6250752752407408,0.5843946946914818,0.0,0.3052559525,0.5041190475,0.738275,3.597210526,0.5041190475,3.000216488898264,12.598820923359733
Fatty Acids Ratio,54.0,1.8127337714629628,0.29304573014434904,1.2683,1.5803027952500002,1.8035238095000001,1.98765,2.497190476,1.8035238095000001,0.2808866112175039,-0.4343840283584752
Refined Grains in ounce equivalents per 1000 kcal,54.0,3.407555507685185,0.8212752953933035,1.720571429,2.81459523825,3.385638158,4.02897994975,5.35415,3.385638158,0.1751403906031339,-0.5275736657925152
Sodium (g) per 1000 kcal,54.0,1.6559055662222222,0.2723027490521858,1.172761905,1.459455357,1.6145214285,1.771272059,2.481619048,1.6145214285,1.0414117450730758,0.9856566108784786
% Calories from Added Sugars (by Total Sugars),54.0,8.558393990740742,4.335877899700344,2.47165,5.29049940475,7.5559761905,10.79196607,19.8417619,7.5559761905,0.8056480764636877,-0.1517222347781515
% Calories from SFA.x,54.0,10.7105465955,1.7016139563490393,7.303318182,9.7228376625,10.592922304999998,11.8696702375,14.92604762,10.592922304999998,-0.06701606328754697,-0.10367686847415536
Total Fruit Servings in cup equivalents,54.0,1.0386551509259259,0.6207483276220457,0.0,0.50116184175,0.9634122805,1.535422619,2.197571429,0.9634122805,0.043455429189935474,-1.1285362668288226
Whole Fruit Servings in cup equivalents,54.0,0.6815347965,0.339410294128622,0.0,0.448,0.684386447,0.886975564,1.492238095,0.684386447,-0.050023479279240224,0.04694795675674257
Total Vegetable Servings in cup equivalents,54.0,1.0260302565,0.5171431386536602,0.154666667,0.7180357145,0.96974812,1.2410582385,3.199526316,0.96974812,1.5818352460107374,5.025630896939974
Greens and Beans Servings in cup equivalents,54.0,0.19755901238888884,0.2157839539088219,0.0,0.0999,0.166845238,0.211583333,1.485842105,0.166845238,4.276616114988153,24.116403307536686
Whole Grain Servings in ounce equivalents,54.0,0.974214984574074,0.8514274376449337,0.052571429,0.30166666675,0.7728968254999999,1.4132321429999999,3.907857143,0.7728968254999999,1.2738171884297531,1.739843087741734
Dairy Servings in cup equivalents,54.0,2.4624846493148147,1.5298717943879256,0.28265,1.3674642855,2.345029304,3.2705429602500002,6.47547619,2.345029304,0.6127033783699414,-0.2317133164470424
Total Protein Servings in ounce equivalents,54.0,3.5612680002777775,1.8375459309631896,1.347101831,2.275257143,2.984007143,4.251940476,9.858421053,2.984007143,1.2924911004124333,1.549960842773816
Seafood and Plant Protein Servings in ounce equivalents,54.0,0.9674371730370369,1.1579528827029977,0.0,0.320809524,0.543759524,1.24431818175,7.075105263,0.543759524,3.2354226545866296,14.211539907364276
Total Polyunsaturated Fatty Acids (PUFA) (g) and Total Monounsaturated Fatty Acids (MUFA) (g),54.0,31.228367314074077,16.03194504661242,9.95375,20.7493385875,26.00970357,41.308318452500004,84.45352381,26.00970357,1.2229986171412401,1.2192454261993855
Total Saturated Fatty Acids (SFA) (g).x,54.0,17.82066608112963,8.441879023132492,6.210805556,12.814286255,16.09136905,20.78359226,51.10561905,16.09136905,1.5076777821371432,3.5003559780705076
Refined Grains in ounce equivalents,54.0,4.934123853499999,2.4079775444000178,1.800138889,3.3338571430000004,3.9846190475000003,6.08870535725,11.46033333,3.9846190475000003,1.085402417533513,0.2673516531507558
Sodium (g),54.0,2.428848168055555,1.1099050984903283,0.868777778,1.6525457395,2.1106666665000002,3.111547619,6.032809524,2.1106666665000002,1.1498513187909947,1.0274049517168646
Kcals from Added Sugars (by Total Sugars),54.0,139.140436195,120.99541174747682,17.846,59.4681,94.84727731000001,206.8378286,603.4790476,94.84727731000001,1.6808497096306438,3.196581139994349
Kcals from Saturated Fats,54.0,157.36859148759257,74.5188811768663,54.94763889,113.021276325,142.31202380000002,182.999916675,450.7797619,142.31202380000002,1.5099814150371085,3.481532128904941
Energy (kcal).x,54.0,1478.9604189185188,685.2463887736963,445.9918333,1012.8679647499999,1303.0527975,1940.8468385,3725.036762,1303.0527975,1.0735819589822793,1.2189191239666797
Total Grams,54.0,1222.3657483851853,607.8242059889052,296.3565278,708.265424275,1214.8037085,1548.84700925,3289.285095,1214.8037085,0.8634083281124748,1.5596715338808758
Total Fat (g),54.0,53.99451667555555,26.426683842643744,18.38945,37.72257143,45.84365476,67.452886905,149.4080952,45.84365476,1.32615690627178,2.014957626466107
Total Carbohydrate (g),54.0,195.3022397774074,94.86039500924983,52.76005556,134.905680425,179.30962055,240.028052275,467.0935238,179.30962055,0.970464720718686,0.9255080974323939
Total Protein (g),54.0,58.966641116851854,26.9887796578726,16.62041667,39.965550345,52.2937412,74.4865,141.791619,52.2937412,1.0125332498808066,0.7451453608603509
Animal Protein (g),54.0,38.79558117251851,17.642659166884062,9.715305556,26.7189285725,36.17916389,48.82097055,91.89852381,36.17916389,0.9382032912851413,0.9806868904453219
Vegetable Protein (g),54.0,20.16902322716667,10.889484701810849,6.905222222,12.712154765000001,15.669153275,24.373565477499998,50.81057143,15.669153275,1.3578193051286291,1.1320327976083555
Cholesterol (mg),54.0,152.96136263296296,75.55659691177776,39.34863889,104.890425025,140.2588939,174.63828695,437.9764286,140.2588939,1.4557705848907516,3.082302513512127
Total Monounsaturated Fatty Acids (MUFA) (g),54.0,17.264982143574073,9.037956085472125,5.43325,11.3107375,13.747369045,21.845527472500002,46.78090476,13.747369045,1.1762029190170231,1.0053519347285467
Total Polyunsaturated Fatty Acids (PUFA) (g),54.0,13.96338517044444,7.413432104856189,4.5205,9.02226818175,11.749792965000001,17.26804902,39.84661905,11.749792965000001,1.594704564716541,2.9390972888417655
Fructose (g),54.0,19.702948643296295,10.641254944158739,2.13,11.575763157499999,18.04010065,27.021309525,43.76771429,18.04010065,0.2796069680013331,-0.6169740778804509
Galactose (g),54.0,0.430765637425926,0.4372657871051971,0.044,0.17877559525,0.31053125,0.609694816,2.900428571,0.31053125,3.614326716838578,18.699788925089653
Glucose (g),54.0,16.389895168814814,8.74910600001441,2.247904762,9.6991885965,15.880975,21.931666670000002,37.93380952,15.880975,0.4651270226210811,-0.20140554179502868
Lactose (g),54.0,22.72054911453704,15.390477467819812,0.5152,12.7353715525,24.937279760000003,28.0155386375,56.33935,24.937279760000003,0.19364658307963512,-0.8044426168745411
Maltose (g),54.0,2.6941985856296293,1.791172021568941,0.608947368,1.439718478,2.2647619045000003,3.21217142825,9.670714286,2.2647619045000003,1.870772061912956,4.4886824078994145
Sucrose (g),54.0,28.267430910592594,23.243609136117108,2.957095238,12.21714286,22.120085715,36.50775892750001,124.8192857,22.120085715,1.9452092005185069,4.928784239182654
Starch (g),54.0,77.91962982555555,35.37707849761675,25.00375,52.966273810000004,63.756733080000004,99.0497142875,192.6180952,63.756733080000004,1.0714051553291588,0.8596195728310598
Total Dietary Fiber (g),54.0,13.922873365981483,6.291356891841121,5.266,9.723260987749999,12.259809520000001,17.280130555,33.3991875,12.259809520000001,1.147065449724442,1.2996373957326406
Soluble Dietary Fiber (g),54.0,4.7049988707407415,2.2638568915603856,1.469619048,3.0056726187500002,4.338870238,5.9570125,13.148,4.338870238,1.303819871844558,2.653622875984506
Insoluble Dietary Fiber (g),54.0,9.14503955398148,4.276499910236917,3.629861111,6.34536730775,8.152416666499999,11.25810341,23.42375,8.152416666499999,1.4108243325345675,2.2043316117532776
Pectins (g),54.0,1.9814425119814814,0.8907480520928978,0.178238095,1.37990480775,1.7887919255,2.5017988725,4.968833333,1.7887919255,0.7714049971214173,1.4586955908642216
Total Vitamin A Activity (International Units) (IU),54.0,5958.888731259259,3067.341752207944,768.392,4024.3085097499998,5444.3906685,7407.93291975,12785.91946,5444.3906685,0.5948724149312724,-0.2242569611550964
Beta-Carotene Equivalents (derived from provitamin A carotenoids) (mcg),54.0,2637.049613385185,1527.330032542633,211.7444286,1550.15964175,2399.2351535,3415.77019075,6304.93081,2399.2351535,0.6677886536859899,-0.04581487685024044
Retinol (mcg),54.0,469.64180978351845,297.90011708566504,65.22436111,253.6277676,418.19697855,546.03342505,1501.089476,418.19697855,1.3606803494309794,2.389393896823909
Vitamin D (calciferol) (mcg),54.0,6.873139304796297,4.9030396977062685,0.36175,3.2984326625000002,6.770104010500001,8.69986666675,23.62471429,6.770104010500001,1.0811660263835612,1.5182338728020013
Total Alpha-Tocopherol Equivalents (mg),54.0,6.936905049203704,3.6002194820938955,2.267777778,4.3058870997500005,5.8155125,9.21360059525,16.17009524,5.8155125,1.0183131785847752,0.09031608469751617
Vitamin E (Total Alpha-Tocopherol) (mg),54.0,5.4820825653148155,2.9468541519800318,1.7735,3.39932142825,4.422166667,6.7863154762499995,12.85570833,4.422166667,1.0838130713778225,0.19310174877324693
Beta-Tocopherol (mg),54.0,0.3560348811296297,0.2876360726220206,0.0993,0.19324510849999998,0.23209166650000002,0.46969464299999997,1.7978,0.23209166650000002,2.8082304942910685,11.109199771595515
Gamma-Tocopherol (mg),54.0,12.269528914055558,6.707166931558784,4.424583333,7.864936688249999,10.410276395,15.0448489975,39.30514286,10.410276395,1.9721905165610263,5.178509537524242
Delta-Tocopherol (mg),54.0,3.359910038944445,2.1132476573773644,1.2191,2.096,2.783840446,3.79113750025,14.24290476,2.783840446,3.0655497709322033,13.128595571680652
Vitamin K (phylloquinone) (mcg),54.0,67.41041068592591,33.33309332147845,22.64404762,44.525423214999996,60.69950761,81.8442892875,199.4054762,60.69950761,1.5739636291898684,3.791362998492269
Vitamin C (ascorbic acid) (mg),54.0,75.21251067316666,40.6358899392492,5.21652381,37.017094925,81.282295455,105.516749975,167.2629091,81.282295455,0.13436416815086086,-0.8545067499039063
Thiamin (vitamin B1) (mg),54.0,1.3072136460000006,0.5829717874176532,0.39425,0.89686904775,1.1508809525,1.6378104395000002,2.981952381,1.1508809525,0.9872123045467756,0.6814959245720305
Riboflavin (vitamin B2) (mg),54.0,1.8321273137592589,0.9794796101858978,0.342277778,1.025665618,1.724675,2.2742055135,5.215666667,1.724675,1.0912005121802348,1.829170041211714
Niacin (vitamin B3) (mg),54.0,14.108532804685185,6.622301150493605,4.753777778,9.87699645775,11.35595652,17.888519645000002,32.17780952,11.35595652,0.9880326910858515,0.1184790097272268
Pantothenic Acid (mg),54.0,4.0470473270000005,1.9479756626596363,0.933027778,2.61031776325,3.8319859945,5.1551461535,10.26928571,3.8319859945,0.8374860774854763,1.0602979314265748
"Vitamin B-6 (pyridoxine, pyridoxyl, & pyridoxamine) (mg)",54.0,1.2585255765,0.539049225656349,0.38425,0.90224937375,1.1760588235,1.53352083325,2.893666667,1.1760588235,0.8361831867240641,0.8569343919649008
Total Folate (mcg),54.0,258.70784749407403,121.41945285202237,82.39002778,173.88996685,216.77536005000002,314.41315775,613.0846042,216.77536005000002,1.019115909941865,0.5103600882753114
Vitamin B-12 (cobalamin) (mcg),54.0,4.033554191018518,2.2173316096630176,0.806916667,2.3987968532500004,4.067315018,4.70601923075,13.72285714,4.067315018,1.844541665913211,6.290937773226744
Calcium (mg),54.0,1148.2788611685185,658.0841632304275,243.80425,709.5611352249999,1029.039407,1381.5490605,3315.573333,1029.039407,1.0905759662078833,1.4101896934453282
Phosphorus (mg),54.0,1154.4525473092592,580.06536941646,299.6538611,724.890318625,1071.7799405,1358.7431565000002,2876.012667,1071.7799405,0.9363324326493452,0.5659171945798049
Magnesium (mg),54.0,205.07746837370365,107.9666842741179,51.68233333,126.474783225,184.80363585,239.89761365,502.5662381,184.80363585,1.031533387259507,0.7094165862347088
Iron (mg),54.0,11.179219009314815,6.201051527341311,3.065694444,6.31739107125,9.261025,15.4551654175,33.54990476,9.261025,1.2621536875039632,2.0062388374318405
Zinc (mg),54.0,7.97444708487037,3.5537311655081454,2.435666667,5.1881847822500005,7.381518398500001,9.619123214250001,19.22242857,7.381518398500001,0.9759802018053144,0.7472290478977066
Copper (mg),54.0,0.7874352605740741,0.5201147505575837,0.234416667,0.4692531875,0.6449642855,0.86885416675,3.171190476,0.6449642855,2.32142142314875,7.457975630457167
Selenium (mcg),54.0,82.90250895870369,40.18538740630602,24.10291667,56.90130769,67.85191413,108.78290865,209.4125238,67.85191413,1.2183760735820162,1.053126432715764
Sodium (mg),54.0,2428.846510746296,1109.8891876607793,868.8465833,1652.6123265,2110.6646905,3111.5389655,6032.770857,2110.6646905,1.149899652834975,1.0274564525237957
Potassium (mg),54.0,2067.032240122222,995.0274142776182,545.0191111,1292.69064975,2025.6556070000001,2480.970459,5083.999667,2025.6556070000001,0.8148722717445285,0.9624508614024072
SFA 4:0 (butyric acid) (g),54.0,0.3862999513518519,0.21714463843999593,0.092,0.223193723,0.3809035715,0.46880357100000003,1.204142857,0.3809035715,1.2978565578591625,2.9378017006517907
SFA 6:0 (caproic acid) (g),54.0,0.25689331425925926,0.12934270267473436,0.07255,0.1640098685,0.2500119045,0.30900000024999996,0.748666667,0.2500119045,1.2489337291794036,3.0597905398548595
SFA 10:0 (capric acid) (g),54.0,0.4052033445740741,0.2107928866638693,0.11615,0.2666292615,0.370833333,0.50461842125,1.217904762,0.370833333,1.403687943148906,3.249781027386503
